Id,name,topic,proposer,decision,VVD,PVV,CDA,D66,GroenLinks,SP,PvdA,ChristenUnie,50PLUS,PvdD,DENK,SGP,FvD,vKA
2019D33900,Motie van de leden Van Brenk en Remco Dijkstra over de bronaanpak als uitgangspunt nemen,Health,50PLUS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2019D35554,Motie van het lid Kwint c.s. over onderzoek of lesmethodes op het gebied van seksuele diversiteit voldoen aan de kerndoelen en de wettelijke kaders,Education,SP,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2019D37389,Motie van de leden Stoffer en Ellemeet over het stimuleren van lokale en regionale netwerken ouderenzorg,Health,SGP,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2019D35011,Motie van de leden Beckerman en Moorlag over isolatiesubsidie met terugwerkende kracht,Environment,SP,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1
2019D34339,Motie van het lid Van Brenk over een Kansrijk-publicatie voor het thema pensioenen,Pension,50PLUS,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
2019D39202,Motie van het lid Baudet over zo snel mogelijk gedetailleerd de totale jaarlijkse kosten van massale immigratie inzichtelijk maken,Immigration,FvD,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019D39200,Motie van het lid Baudet over verbieden van negatieve spaarrente bij Nederlandse banken,Finance,FvD,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1
2019D37607,Motie van de leden Van der Graaf en Stoffer over een extra communicatie-inspanning over de reikwijdte en toepassing van de wet,Religion,ChristenUnie,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
2019D37762,Motie van het lid La?in c.s. over werknemers betrekken bij het onderzoek naar de effecten van fijnstof op Schiphol,Environment,SP,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2019D37753,Motie van het lid Kops over verlagen van de huren in de corporatiesector,Housing,PVV,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1
2019D37755,Motie van de leden Koerhuis en Ronnes over bevorderen dat wachtlijsten bestaan uit mensen die echt op zoek zijn naar een sociale huurwoning,Housing,VVD,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
2019D37750,Motie van het lid Nijboer c.s. over geen extra inkomensafhankelijke huurverhogingen,Housing,PvdA,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1
2019D37470,Motie van het lid Van den Hul c.s. over een actievere rol voor de onderwijsinspectie bij toezicht op uitschrijvingen van leerlingen,Education,PvdA,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1
2019D37433,Motie van het lid Van der Lee c.s. over de mogelijkheid van verbreding van het bouwdepot bestuderen,Housing,GroenLinks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019D37431,Motie van het lid Agnes Mulder c.s. over nieuwe bouwnormen voor het versterken van gebouwen in Groningen,Housing,ChristenUnie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019D36535,Motie van het lid Jetten c.s. over verhogen van het budget voor de ondersteuning van parlementari?rs en de subsidie aan politieke partijen,Finance,D66,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
2019D36553,Motie van het lid Baudet over een eenvoudige terugkeerregeling voor Syrische statushouders verblijvend in Nederland,Immigration,FvD,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019D36540,"Motie van het lid Segers c.s. over aanpassingen van de trap-op-trap-af systematiek bij gemeentebudgetten
",Finance,ChristenUnie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019D36515,Motie van het lid Wilders over de dreigende pensioenkortingen van tafel halen,Pension,PvdA,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
2019D36523,Motie van het lid Klaver c.s. over structureel 15 miljoen euro investeren in extra capaciteit van de zedenpolitie,Security,GroenLinks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
